task,subject_id,session,condition,accuracy,mean_rt
NF,8064,1,con,97.22222222222221,790.1527777777778
NF,8064,1,inc,100.0,831.5138888888889
NF,8068,1,con,97.22222222222221,788.0972222222222
NF,8068,1,inc,94.44444444444444,854.0
NF,9015,3,con,98.61111111111111,472.05555555555554
NF,9015,3,inc,98.61111111111111,492.0
NF,8009,2,con,97.22222222222221,501.6666666666667
NF,8009,2,inc,94.44444444444444,528.8472222222222
NF,8018,3,con,97.22222222222221,510.22222222222223
NF,8018,3,inc,97.22222222222221,594.9027777777778
NF,1111,1,con,15.277777777777779,1602.611111111111
NF,1111,1,inc,16.666666666666664,1628.013888888889
NF,9999,,con,97.22222222222221,432.44444444444446
NF,9999,,inc,98.61111111111111,522.0138888888889
NF,9005,3,con,93.05555555555556,590.5694444444445
NF,9005,3,inc,97.22222222222221,601.2638888888889
NF,8053,2,con,97.22222222222221,639.2083333333334
NF,8053,2,inc,100.0,687.7638888888889
NF,8040,2,con,100.0,591.9166666666666
NF,8040,2,inc,98.61111111111111,601.4166666666666
NF,8050,2,con,98.61111111111111,508.625
NF,8050,2,inc,97.22222222222221,565.1805555555555
NF,8019,3,con,95.83333333333334,774.3055555555555
NF,8019,3,inc,100.0,816.5
NF,8009,1,con,94.44444444444444,586.4444444444445
NF,8009,1,inc,97.22222222222221,636.7361111111111
NF,9010,2,con,98.61111111111111,550.4166666666666
NF,9010,2,inc,100.0,581.625
NF,9019,2,con,100.0,550.1944444444445
NF,9019,2,inc,95.83333333333334,531.5277777777778
NF,9017,2,con,91.66666666666666,671.875
NF,9017,2,inc,98.61111111111111,670.4027777777778
NF,8063,1,con,98.61111111111111,577.4444444444445
NF,8063,1,inc,100.0,601.8194444444445
NF,8016,3,con,98.61111111111111,747.6944444444445
NF,8016,3,inc,100.0,750.9027777777778
NF,8014,3,con,98.61111111111111,596.3194444444445
NF,8014,3,inc,100.0,607.3055555555555
NF,9013,3,con,100.0,602.1527777777778
NF,9013,3,inc,100.0,637.4305555555555
NF,8048,2,con,95.83333333333334,515.5972222222222
NF,8048,2,inc,95.83333333333334,518.6388888888889
NF,8060,2,con,95.83333333333334,421.7361111111111
NF,8060,2,inc,95.83333333333334,503.69444444444446
NF,8070,1,con,88.88888888888889,498.09722222222223
NF,8070,1,inc,98.61111111111111,500.5833333333333
NF,8074,1,con,95.0,631.625
NF,8074,1,inc,88.75,612.125
NF,8069,1,con,98.61111111111111,637.9861111111111
NF,8069,1,inc,98.61111111111111,678.9722222222222
NF,8075,1,con,97.22222222222221,615.5277777777778
NF,8075,1,inc,98.61111111111111,649.0
NF,9033,1,con,83.75,676.475
NF,9033,1,inc,86.25,689.1625
NF,8039,3,con,95.83333333333334,382.43055555555554
NF,8039,3,inc,90.27777777777779,403.94444444444446
NF,8073,1,con,97.22222222222221,470.31944444444446
NF,8073,1,inc,98.61111111111111,522.6388888888889
NF,9029,1,con,97.22222222222221,608.5972222222222
NF,9029,1,inc,97.22222222222221,608.9305555555555
NF,7176,1,con,97.22222222222221,707.4722222222222
NF,7176,1,inc,95.83333333333334,706.4166666666666
NF,7186,1,con,54.166666666666664,1089.861111111111
NF,7186,1,inc,50.0,1148.3333333333333
NF,7188,1,con,97.22222222222221,477.84722222222223
NF,7188,1,inc,97.22222222222221,580.8055555555555
NF,7197,1,con,97.22222222222221,704.0972222222222
NF,7197,1,inc,97.22222222222221,680.6527777777778
NF,7200,1,con,97.22222222222221,610.2222222222222
