task,subject_id,session,condition,count_correct,mean_rt,accuracy
SM,8040,2,1,65,1408.6477272727273,73.86363636363636
SM,8050,2,1,73,1352.534090909091,82.95454545454545
SM,8019,3,1,64,1532.4204545454545,72.72727272727273
SM,8009,1,1,58,1192.5,65.9090909090909
SM,9010,2,1,68,1349.534090909091,77.27272727272727
SM,9019,2,1,74,1251.5454545454545,84.0909090909091
SM,9017,2,1,64,1179.3636363636363,72.72727272727273
SM,8063,1,1,69,1386.7613636363637,78.4090909090909
SM,8016,3,1,53,1540.0,60.22727272727273
SM,8014,3,1,66,1565.7613636363637,75.0
SM,9013,3,1,79,1122.3181818181818,89.77272727272727
SM,8048,2,1,77,1298.590909090909,87.5
SM,8060,2,1,79,1282.7954545454545,89.77272727272727
SM,7165,1,1,65,1145.1931818181818,73.86363636363636
SM,7165,1,2,7,1457.25,87.5
SM,7164,1,1,65,1488.909090909091,73.86363636363636
SM,7172,1,1,63,1435.284090909091,71.5909090909091
SM,7172,1,2,6,1482.75,75.0
SM,7147,1,1,61,1590.090909090909,69.31818181818183
SM,7174,1,1,50,1423.340909090909,56.81818181818182
SM,7174,1,2,5,1441.375,62.5
SM,7180,1,1,69,1437.4318181818182,78.4090909090909
SM,7177,1,1,60,1368.0681818181818,68.18181818181817
SM,7192,1,1,65,1345.9772727272727,73.86363636363636
SM,7191,1,1,58,1497.3863636363637,65.9090909090909
SM,7183,1,1,33,1478.25,37.5
SM,7183,1,2,5,1302.75,62.5
SM,7190,1,1,65,1482.8181818181818,73.86363636363636
SM,7194,1,1,74,1354.2613636363637,84.0909090909091
SM,7203,1,1,67,1424.4886363636363,76.13636363636364
SM,7206,1,1,65,1518.6477272727273,73.86363636363636
SM,7207,1,1,63,1383.7954545454545,71.5909090909091
SM,7216,1,1,62,1391.875,70.45454545454545
SM,7212,1,1,62,1409.7727272727273,70.45454545454545
SM,7195,1,1,71,1436.8522727272727,80.68181818181817
SM,7213,1,1,69,1452.4772727272727,78.4090909090909
SM,7225,1,1,46,1203.590909090909,52.27272727272727
SM,7155,1,1,40,1715.4545454545455,45.45454545454545
SM,7155,1,2,5,1820.0,62.5
SM,7160,1,1,51,1497.4204545454545,57.95454545454546
SM,7160,1,2,4,1695.0,50.0
SM,7161,1,1,64,1553.5681818181818,72.72727272727273
SM,7161,1,2,7,1454.75,87.5
SM,7168,1,1,49,1559.590909090909,55.68181818181818
SM,7167,1,1,58,1417.4886363636363,65.9090909090909
SM,7167,1,2,3,1588.0,37.5
SM,7167,1,3,6,1491.25,75.0
SM,7178,1,1,68,1393.1704545454545,77.27272727272727
SM,7182,1,1,58,1518.4545454545455,65.9090909090909
SM,7182,1,2,4,1594.125,50.0
SM,7189,1,1,54,1591.4886363636363,61.36363636363637
SM,7173,1,1,49,1398.1477272727273,55.68181818181818
SM,7173,1,2,3,1271.375,37.5
SM,7187,1,1,62,1518.7272727272727,70.45454545454545
SM,7187,1,2,5,1703.0,62.5
SM,7196,1,1,59,1587.3295454545455,67.04545454545455
SM,7200,1,1,73,1371.0795454545455,82.95454545454545
SM,7211,1,1,59,1411.4772727272727,67.04545454545455
SM,7211,1,2,4,1777.25,50.0
SM,7209,1,1,66,1331.2272727272727,75.0
SM,7209,1,2,6,1261.375,75.0
SM,7204,1,1,71,1368.0113636363637,80.68181818181817
SM,7218,1,1,36,1255.034090909091,40.909090909090914
SM,7221,1,1,50,1612.2613636363637,56.81818181818182
SM,7202,1,1,69,1186.2045454545455,78.4090909090909
SM,8046,1,1,65,1447.7613636363637,73.86363636363636
